"","Symbol","Score","Filters","gomez","meaburn","gosch","obermoser","dusek","rusch","larocca","karlovich","Study_counts"
"159","AASS",4,"gosch.vp larocca.vp gosch.rp larocca.rp",0,0,2,0,0,0,2,0,2
"160","PLEKHG6",0,"",0,0,0,0,0,0,0,0,0
"161","SS18L2",2,"obermoser1.vp karlovich2.vp",0,0,0,1,0,0,0,1,2
"162","MPND",0,"",0,0,0,0,0,0,0,0,0
"163","MGST1",14,"gosch.vp meaburn2.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp karlovich2.vp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp rusch.rp larocca.rp karlovich2.rp",0,1,1,7,0,1,2,2,6
"164","CRY1",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"165","PGLYRP1",11,"obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp gomez.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",1,1,0,8,0,0,1,0,4
"166","NFIX",10,"gosch.vp obermoser1.vp obermoser2.vp obermoser4.vp gomez.rp gosch.rp obermoser1.rp obermoser2.rp obermoser4.rp larocca.rp",1,0,2,6,0,0,1,0,4
"167","ST3GAL1",18,"obermoser4.sd gosch.vp meaburn1.vp meaburn2.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp rusch.vp karlovich1.vp gosch.rp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp karlovich1.rp karlovich2.rp",0,3,2,9,0,1,0,3,5
"168","MMP25",16,"gomez.vp gosch.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp dusek.vp gosch.rp meaburn1.rp meaburn2.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp dusek.rp karlovich1.rp",1,2,2,8,2,0,0,1,6
"169","IL32",12,"gomez.vp obermoser1.vp obermoser2.vp obermoser3.vp obermoser4.vp larocca.vp meaburn1.rp obermoser1.rp obermoser2.rp obermoser3.rp obermoser4.rp larocca.rp",1,1,0,8,0,0,2,0,4
"170","PKD1",1,"larocca.vp",0,0,0,0,0,0,1,0,1
"171","MED24",1,"obermoser1.vp",0,0,0,1,0,0,0,0,1
"172","RHOBTB2",1,"gosch.rp",0,0,1,0,0,0,0,0,1
"173","HEATR5B",4,"obermoser2.vp obermoser4.vp rusch.rp larocca.rp",0,0,0,2,0,1,1,0,3
"174","SEC62",6,"meaburn1.vp karlovich1.vp gosch.rp meaburn1.rp rusch.rp karlovich1.rp",0,2,1,0,0,1,0,2,4
"175","RPS20",7,"gosch.vp obermoser2.vp obermoser3.vp dusek.vp karlovich2.vp gosch.rp dusek.rp",0,0,2,2,2,0,0,1,4
"176","CSDE1",2,"karlovich1.vp obermoser4.rp",0,0,0,1,0,0,0,1,2
"177","UBE3C",5,"obermoser1.vp obermoser2.vp obermoser4.vp karlovich1.vp karlovich2.vp",0,0,0,3,0,0,0,2,2
"178","REV3L",1,"rusch.vp",0,0,0,0,0,1,0,0,1
"179","TENM1",4,"gosch.vp obermoser1.vp gomez.rp obermoser4.rp",1,0,1,2,0,0,0,0,3
"180","MASP2",1,"meaburn2.rp",0,1,0,0,0,0,0,0,1
"181","FAM76A",0,"",0,0,0,0,0,0,0,0,0
"182","TRAF3IP3",8,"dusek.vp larocca.vp karlovich2.vp meaburn2.rp obermoser1.rp obermoser3.rp dusek.rp karlovich2.rp",0,1,0,2,2,0,1,2,5
"183","POMT2",1,"gosch.rp",0,0,1,0,0,0,0,0,1
"184","VTA1",2,"rusch.vp meaburn1.rp",0,1,0,0,0,1,0,0,2
"185","BAZ1B",1,"gosch.vp",0,0,1,0,0,0,0,0,1
"186","RANBP9",5,"gosch.vp gosch.rp meaburn2.rp rusch.rp karlovich2.rp",0,1,2,0,0,1,0,1,4
"187","ETV7",11,"gomez.vp gosch.vp meaburn1.vp meaburn2.vp larocca.vp gomez.rp gosch.rp meaburn1.rp meaburn2.rp larocca.rp karlovich2.rp",2,4,2,0,0,0,2,1,5
"188","SPRTN",2,"meaburn1.vp meaburn1.rp",0,2,0,0,0,0,0,0,1
"189","METTL13",1,"karlovich2.rp",0,0,0,0,0,0,0,1,1
